Commodity name,Units,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,AVG Price
Banana - ripe,1 Kg,,,,,108.46,108.06,,,,,,105.49,104.03,109.82,107.17
Beans,1 Kg,,,,,,109.57,107.66,106.94,107.2,106.99,107.89,107.68,108.64,,107.82
Beef - With Bones,1 Kg,431.24,432.89,,434.6,,,438.71,442.95,443.21,444.38,445.91,447.47,,,440.15
Beer,500 Ml,,,,,,,,,,,170.73,171.18,,,170.96
Boda Boda Fares,short distance,,,,,,,,,,46.24,47.24,,,,46.74
Cabbages,1 Kg,38.24,40.97,41.63,,41.91,39.34,40.53,42.58,43.53,39.43,39.66,38.02,38.28,39.59,40.29
Capsicums (Pilipili Hoho),1 Kg,,,,,,,,,,,123.62,125.87,,,124.75
Carrots,1 Kg,53.36,56.97,58.91,59.89,62.07,,63.04,61.19,59.35,57.7,56.06,61.03,63.93,65.73,59.94
Cell Phone Airtime,1 Minute,,,,,,,,,3.7,4.03,,,,,3.87
Charcoal,4 Kg,83.47,84.49,107.36,125.48,135.64,138.13,137.39,137.71,141.24,,141.12,141.31,141.22,141.04,127.35
Chicken,1 Kg,,,,,,,,,,,646.5,659.94,,,653.22
Coriander Leaves (Dania),100 G,,,,107.01,,,,,,,,,,,107.01
Country Bus Fares,350 Km,,,,,,,,"1,098.38","1,171.93",,"1,183.59","1,245.94","1,239.97",,1187.96
Diesel,1 litre,,91.39,98.82,98.82,99.6,104.55,104.21,103.69,108.97,110.57,108.97,111.89,103.1,96.83,103.19
Electricity,50 KWh,682.71,682.21,730.93,745.93,709.97,691.99,695.97,"1,063.72","1,064.21","1,104.99",757.72,757.72,770.48,789.57,803.44
Electricity,200 KWh,4069.22,4067.22,4262.1,"4,322.10","4,178.26","4,106.34","4,122.26","4,392.82","4,394.80","4,419.94","4,434.48","4,434.48","4,485.52","4,561.90",4303.67
Flight (Local),Return fares,,,,,,,,,,,"19,760.87","21,230.18",,,20495.53
Flights (International),Return fares,,,,,,,,,,,"119,791.45","120,546.86",,,120169.16
Gas - (LPG),13 Kg,2140.37,2150.2,2169.19,"2,172.82","2,164.43","2,170.92","2,176.31",,,"2,185.79","2,193.42",,,,2169.27
Green Maize,I Cobb,,,,,44.32,32.86,,,,,,,,,38.59
Kale-Sukuma Wiki,1 Kg,48.61,53.06,56.1,55.12,56.02,57.87,57.58,45.3,57.03,45,44.62,43.24,44.32,47.3,50.80
Kerosene,1 litre,,77.71,78.41,77.68,79.18,85.05,86.69,85.9,109.25,109.68,109.25,106.15,102.56,97.36,92.68
Maize Flour - Sifted,2 Kg,122.88,125.03,124.51,124.01,,117.56,116.29,,97.88,83.83,84.32,86.55,87.2,86.67,104.73
Maize Grain - Loose,1 Kg,,61.75,61.51,62.74,59.99,53.09,51.47,42.39,40.55,34.53,34.25,35.05,41.92,35.63,47.30
Mangoes,1 Kg,,95.45,98.11,,,,,,,,,115.4,112.3,,105.32
Matatu Fares,250 Km,,,,,,,,416.75,449.77,426.67,431,436.63,,,432.16
Matatu Fares,short distance,,,,,,,,,,,,50.08,49.82,,49.95
Milk - Fresh Packeted,500 Ml,60.54,61.49,61.17,60.82,,,60.17,60.81,,60.68,60.58,60.74,61.12,,60.81
Mutton/Goat Meat,1 Kg,,,,,,,,,,,509.36,510.94,,,510.15
Offals - Matumbo,1 Kg,,,,,,,,,,,267.39,267.67,,,267.53
Onions,1 Kg,132.78,147.49,167.58,177.01,180.74,147.84,,,,84.06,83.66,85.66,,,134.09
Orange,1 Kg,,,,92.99,90.69,,,,,96.13,97.74,,,,94.39
Pawpaw,1 Kg,,,,,117.72,117.04,,,,,,,,,117.38
Peas,1 Kg,,,,162.23,,,,,,,,,,,162.23
Petrol,1 litre,,101.91,108.33,107.7,108.04,109.67,113.07,114.58,117.54,116.48,117.54,114.96,104.99,101.13,110.46
Potatoes (Irish),1 Kg,56.1,60.07,61.49,67.33,68.67,58.31,60.12,73.62,77.6,,77.8,75.17,75.42,76.42,68.32
Rent,1 Room,4261.53,4291.93,4298.98,"4,307.18","4,310.68","4,335.75","4,344.58","4,403.40","4,406.45","4,415.15","4,431.55","4,436.45","4,456.98","4,465.20",4368.99
Rice Grade 1,1 Kg,,,,,,,,,,,,220.54,220.67,,220.61
Rice- Grade 2,1 Kg,,,,,,,,,,,,124.29,123.9,,124.10
Spinach,1 Kg,57.97,62.73,,65.51,69.12,,,147.33,,,,,46.41,49.77,71.26
Sugar,1 Kg,132.16,131.02,131.19,131.22,129.5,128.55,137.11,147.33,152.29,130.29,127.38,125.2,122,119.86,131.79
Tomatoes,1 Kg,95.89,98.82,101.16,104.26,120.39,122.04,95.6,72.88,70.55,67.07,66.93,75.74,76.69,82.39,89.32
Tuition (Primary),Per term,,,,,,,,,,,,"9,419.41","9,508.57",,9463.99
Tuition (Secondary),Per term,,,,,,,,,,,,"10,655.15","10,795.24",,10725.20
Wheat Flour,2 Kg,,125.03,123.67,,,,,119.04,120.83,120.9,122.45,123.86,123.64,122.82,122.47